Ta_m,P_m,SWin_m,VPD_m,GPP
13.446,3.2,123.917,2.274,10.6825
13.577,2.4,203.917,3.799,11.7742
16.258,0.0,268.745,6.905,13.6124
15.335,7.2,77.875,2.203,6.62691
13.338,2.2,137.083,2.813,9.93586
14.135,7.8,177.354,3.428,10.0398
15.571,1.0,115.521,4.04,10.003
13.656,0.8,114.792,2.076,10.2956
14.81,0.2,183.958,3.681,12.295
13.548,9.0,166.979,1.921,9.59877
14.215,0.6,143.917,2.938,8.301
15.263,0.0,200.813,4.165,10.6484
16.487,0.0,246.521,5.085,10.9125
18.152,0.0,307.115,7.094,11.148
18.948,0.0,312.766,8.394,10.6754
18.948,0.0,312.885,8.617,8.65863
19.969,0.0,278.958,8.038,9.78516
20.225,0.0,262.5,7.561,10.4662
18.179,4.0,163.875,4.015,10.2577
17.337,0.2,212.958,5.508,6.52136
17.906,0.0,287.729,6.652,9.2765
18.169,0.0,243.917,5.705,11.1818
14.179,14.4,94.25,1.077,6.9589
14.744,11.0,97.292,1.688,6.38471
15.375,0.0,276.792,5.119,10.3481
14.748,0.0,166.354,3.357,8.43306
17.731,0.2,285.104,6.077,12.2071
19.163,0.0,213.792,5.676,11.8556
19.258,8.8,246.729,5.823,11.9528
15.667,8.6,97.333,2.332,3.73069
17.31,0.4,239.146,5.535,11.8296
19.827,0.2,207.25,7.432,10.3071
17.725,0.0,281.333,6.185,11.0113
18.906,0.0,286.292,8.686,11.1767
19.867,0.0,276.646,10.029,11.724
15.219,5.0,114.458,3.874,7.7876
13.048,3.2,55.833,0.59,2.54155
15.535,2.8,60.5,0.963,4.60299
18.471,0.2,253.208,5.741,12.0705
21.263,0.0,232.896,7.041,11.0299
22.588,0.0,264.271,8.454,11.2109
21.185,0.0,204.042,5.161,10.3508
20.806,0.0,163.354,7.756,9.77258
20.496,0.0,205.313,6.076,7.23547
20.604,0.0,266.042,8.901,10.0496
21.631,0.0,269.875,11.114,11.4679
22.067,0.2,271.958,11.147,12.6579
21.144,0.0,252.542,8.689,14.7795
20.446,0.0,172.646,5.239,12.4443
21.521,0.0,208.146,5.999,15.5536
19.283,0.0,232.458,7.121,16.9451
19.537,0.0,231.188,7.868,18.0569
19.358,3.4,217.875,5.85,16.0535
19.129,17.0,233.021,5.916,14.0543
19.25,0.0,228.771,7.983,11.1981
20.488,0.2,235.604,8.93,12.0196
21.087,0.0,239.667,10.713,9.2547
21.365,0.0,191.313,9.953,9.851
21.71,0.0,200.188,8.181,9.43913
22.754,0.0,195.792,9.398,9.31257
23.415,0.0,223.833,12.465,9.39343
20.125,0.8,66.313,4.69,4.43572
20.465,0.8,187.5,7.193,8.68727
14.635,14.4,35.438,1.202,1.92806
14.246,1.2,128.875,3.756,5.62871
15.492,1.0,67.667,2.423,5.5669
21.125,0.0,228.479,7.5,7.31659
20.615,4.6,195.875,5.962,9.36949
16.379,1.4,47.0,1.349,3.9283
17.365,2.4,125.0,3.133,5.43976
18.398,0.0,174.146,4.46,6.22748
19.285,6.8,199.396,5.605,6.51192
15.835,0.6,126.188,3.467,2.91332
13.417,0.0,149.542,3.696,2.89228
14.696,0.2,209.104,4.291,3.6569
14.45,0.0,165.125,3.611,5.71302
11.804,0.0,215.833,4.545,6.37518
15.925,0.0,206.958,7.385,7.7685
19.015,7.4,148.938,5.936,6.37141
12.513,3.4,113.104,3.123,4.30481
9.533,0.0,161.479,3.538,5.36428
11.152,0.4,203.0,5.398,5.80586
13.706,0.0,205.604,5.664,6.19088
16.985,0.0,160.625,5.682,6.6055
17.015,0.0,187.104,6.116,6.41335
17.033,0.4,124.25,5.095,6.50619
12.821,0.0,190.896,5.749,6.53501
12.408,0.0,184.896,5.88,5.55458
13.117,0.0,174.958,5.695,4.73964
13.423,0.0,174.833,6.15,4.40066
13.002,0.0,171.813,5.122,4.59447
14.156,0.0,176.958,6.032,4.17847
14.754,0.0,178.563,6.995,4.13673
14.069,0.0,172.229,6.166,4.54322
14.004,0.0,160.146,4.864,4.57342
15.329,0.0,156.375,5.888,5.20046
16.431,0.0,149.271,6.791,4.24894
16.921,0.0,103.979,4.867,5.89302
15.829,0.0,111.167,4.792,5.38884
10.19,0.0,145.375,4.171,5.35257
9.125,0.0,155.125,3.484,4.26537
10.973,0.0,154.167,3.88,4.46857
16.787,0.2,118.438,6.7,4.18774
17.575,1.2,97.125,4.981,2.63576
17.098,1.4,83.688,5.097,2.76259
18.363,0.8,47.708,5.353,1.22797
14.333,17.6,26.375,2.219,-0.227342
10.733,6.8,65.667,1.86,0.92922
10.271,2.6,52.125,1.924,0.974209
6.438,3.2,32.313,0.998,1.74354
5.965,3.2,52.104,0.845,0.354177
5.454,7.4,27.271,0.365,-0.298993
7.927,3.0,28.896,0.841,-0.217798
8.885,0.0,117.646,1.413,0.83116
11.065,0.2,117.813,2.292,0.71858
10.377,0.0,121.896,1.595,0.944681
9.221,0.2,94.438,1.219,0.949743
6.608,0.0,76.896,2.144,1.72003
3.744,0.0,114.438,1.257,1.18814
1.679,0.2,108.167,0.794,0.879218
3.015,0.2,59.479,1.683,1.01176
2.548,0.0,113.771,2.209,0.539743
4.396,0.2,106.188,1.922,0.9098
3.327,0.2,74.792,2.04,0.771663
0.81,0.4,110.958,2.161,0.219952
1.496,0.0,108.854,2.833,0.384688
3.246,0.0,104.833,2.96,0.415978
0.412,0.0,96.485,2.436,0.0593254
1.81,0.0,95.201,2.59,0.228914
2.69,0.0,95.042,2.882,0.445081
3.604,0.0,93.375,2.511,0.626117
4.367,1.2,71.417,1.264,0.85916
9.565,21.6,23.167,0.641,0.0067114
11.956,28.4,18.25,1.117,-0.287418
9.977,2.0,59.896,2.753,-0.433076
9.658,0.6,47.875,3.085,0.438851
8.969,9.0,30.396,2.541,-0.287188
9.154,2.6,68.188,3.423,0.0155917
7.606,6.0,27.167,2.474,0.468655
6.015,11.6,9.479,0.511,-0.358721
5.179,0.8,33.479,0.689,-0.0822164
5.056,0.2,62.125,1.279,0.131023
6.219,0.0,40.083,2.991,0.346833
7.229,2.6,25.979,0.727,-0.0753652
4.583,0.4,66.021,0.961,0.290396
2.767,0.0,75.208,1.586,0.5146
1.167,0.4,74.354,1.217,0.224828
4.71,5.8,20.167,0.857,0.407152
6.798,1.0,46.917,1.283,0.0805319
2.535,0.2,50.458,0.578,0.00178551
2.148,0.0,16.771,0.593,0.110207
2.4,0.2,48.313,1.386,0.0961369
2.21,0.0,27.875,0.898,0.135338
3.85,0.0,58.542,1.785,0.337945
2.15,0.0,48.458,0.707,0.200377
6.321,3.4,18.688,0.473,0.338971
8.815,1.8,21.708,1.555,0.102878
6.721,3.6,14.063,0.706,0.0241068
3.096,1.0,30.896,1.385,-0.0540675
-0.271,0.0,10.542,0.501,-0.222065
-1.223,0.0,15.542,1.087,-0.292976
-0.727,0.0,15.688,0.624,-0.226818
-0.171,1.4,18.063,0.574,-0.0793434
-3.798,0.0,39.302,1.21,-0.420631
-0.269,2.2,61.354,1.072,-0.169417
4.417,5.4,26.542,2.543,0.605596
6.888,0.8,28.167,1.47,-0.00849734
8.354,4.8,17.688,1.928,0.0387869
10.533,11.2,9.229,0.93,-0.153636
6.863,3.6,7.021,1.299,-0.367553
3.673,0.0,29.438,1.191,0.28701
2.408,3.8,4.688,0.349,-0.0774482
0.169,0.4,32.646,0.813,0.0894899
-3.881,0.0,27.542,0.817,-0.0451428
-1.767,0.0,6.75,0.561,0.0359953
1.546,6.4,8.438,0.411,0.133769
4.35,1.6,22.417,0.683,0.191575
3.385,16.6,10.146,0.146,0.129924
3.344,26.8,3.271,0.343,-0.301314
1.154,5.8,10.042,0.348,0.246722
3.406,0.6,8.167,0.579,0.112912
8.242,2.4,14.458,1.069,0.266225
11.267,3.8,28.042,2.711,0.0759883
7.921,4.4,38.063,2.559,-0.000159161
4.929,5.8,24.708,0.743,0.0272346
3.394,0.8,9.708,0.633,0.0506618
1.96,0.6,18.391,1.158,-0.199759
4.629,0.0,24.333,2.954,0.108165
10.4,0.0,21.021,3.994,-0.0205438
6.56,6.2,16.104,1.019,0.011872
7.008,13.2,14.208,1.685,0.0772079
7.598,6.8,16.979,2.294,0.0918629
7.048,1.6,50.813,3.574,0.137184
6.771,5.6,37.104,3.553,0.550814
5.848,2.2,30.896,1.407,-0.00271144
9.542,1.8,28.542,2.83,0.0024438
9.171,0.0,54.542,3.801,-0.146605
9.798,0.0,48.938,4.345,-0.0340128
4.206,0.0,61.688,1.449,0.00273849
6.804,0.2,60.021,4.966,0.283384
8.708,0.0,40.083,5.3,0.249253
10.885,0.0,32.729,6.274,0.215995
7.71,2.8,19.688,2.912,-0.220783
5.383,2.6,26.313,1.855,0.0450622
6.55,12.4,10.208,0.575,-0.153696
3.516,0.0,50.896,1.38,0.0185478
3.125,3.6,21.146,3.2,0.193481
4.038,17.6,8.5,0.847,0.0979338
1.104,5.0,8.063,0.682,-0.0337312
1.037,0.0,20.833,1.104,0.049013
-0.963,0.0,28.521,1.2,-0.12774
0.748,0.0,13.667,1.011,0.053371
-0.821,0.0,16.771,0.969,0.124313
-1.121,0.0,15.146,0.969,0.0506361
-3.996,0.0,21.438,0.841,-0.197801
-5.992,0.0,80.159,1.0,0.0432886
-4.648,0.0,20.125,0.835,0.0480646
-1.898,0.2,69.188,1.006,0.0367996
-5.331,0.0,26.063,1.108,-0.0658749
-3.944,0.2,34.813,1.171,0.0899269
-7.215,0.0,90.188,1.755,-0.0942116
-6.008,0.0,65.976,1.785,-0.194996
-6.208,0.0,69.542,2.897,0.0276957
-2.16,0.0,95.728,2.505,0.201366
-2.258,0.0,93.159,3.653,-0.0879921
-0.877,0.0,102.502,4.086,0.104218
0.46,0.4,47.792,2.63,-0.199858
2.498,0.0,96.313,2.165,-0.0532063
3.6,0.2,103.896,5.034,-0.0106106
8.748,0.0,98.417,6.533,0.223961
9.371,0.0,102.354,7.716,0.209907
10.277,0.0,98.917,7.04,0.0753065
9.085,0.0,103.646,4.015,-0.0323013
8.487,0.0,101.75,2.859,0.0219033
7.869,0.0,106.208,2.097,-0.0950486
9.125,0.2,42.375,3.128,0.0974039
6.015,0.2,28.417,1.801,-0.137443
5.498,0.2,118.875,2.296,-1.15614
8.4,0.0,48.646,3.514,0.327643
7.419,0.0,109.708,2.5,0.139839
13.152,1.8,106.563,8.228,0.272933
6.59,12.0,25.167,0.338,-0.104657
5.583,0.8,62.854,1.626,0.0418487
3.971,0.2,43.771,0.945,-0.0041373
7.925,0.0,32.875,1.226,0.177195
6.842,0.0,78.375,1.916,0.261924
6.721,0.2,17.521,1.615,-0.156414
5.058,5.4,30.688,1.39,0.0453699
3.867,0.0,127.958,3.046,0.174816
6.729,0.2,61.25,3.288,0.267859
10.781,0.0,50.917,7.156,0.397844
14.813,5.8,69.021,9.76,0.329311
6.265,3.0,83.979,3.64,0.202997
7.038,2.0,43.083,3.518,0.104364
8.783,4.6,29.083,2.578,0.294488
7.063,1.4,57.438,2.08,0.166721
0.977,0.8,164.271,2.686,0.0211882
1.31,0.0,164.592,3.338,0.00556646
2.823,0.6,38.563,2.078,0.0298299
1.979,2.8,17.938,0.465,0.043758
2.354,0.2,147.292,2.736,-0.340788
4.956,0.4,34.042,1.256,0.358028
6.185,1.0,39.146,1.148,0.215628
7.454,0.2,31.563,1.459,0.0787185
6.931,0.0,36.917,1.735,-0.673771
8.013,0.0,82.771,2.873,0.337794
5.812,0.0,158.75,3.842,0.390469
3.767,0.0,97.313,2.602,0.225875
4.221,0.0,114.208,2.792,0.140249
3.183,0.0,191.875,4.621,0.25489
2.267,3.4,55.146,1.799,0.130114
1.229,0.2,192.563,3.811,0.0709949
1.908,0.0,177.688,5.151,0.0479949
4.094,0.0,192.646,5.841,0.0601706
7.835,0.0,72.833,2.912,0.266217
10.158,0.0,171.438,4.204,0.215516
14.381,0.0,187.188,8.4,0.348373
15.775,0.0,202.917,10.879,0.510479
14.313,0.0,184.625,7.767,0.482968
13.423,2.4,73.292,6.002,0.328864
11.556,2.6,86.104,3.451,0.038163
12.054,15.6,98.333,2.118,-0.0282837
8.09,6.4,100.5,2.778,0.218641
9.296,1.2,125.729,4.1,0.693002
8.719,7.0,140.0,3.064,0.0934109
6.994,9.8,61.438,1.455,0.00319874
6.338,6.6,88.75,1.366,-0.0660721
7.571,8.0,153.25,2.919,0.0226305
5.371,9.0,47.813,0.693,0.342856
6.656,0.4,142.375,3.074,0.981003
4.898,3.6,113.375,1.87,0.805542
2.804,9.4,142.958,2.547,0.802084
3.883,0.0,178.063,3.42,0.361976
6.781,5.6,88.583,3.149,-0.125971
5.11,0.0,136.729,3.373,0.134691
6.46,4.6,131.104,2.781,0.450842
3.396,5.2,54.688,0.546,0.294037
5.969,0.0,126.563,2.553,0.714567
9.767,2.4,138.583,4.6,0.705146
11.675,0.2,185.75,4.628,0.796621
14.208,0.0,258.313,7.877,0.698714
14.883,0.0,225.729,7.136,1.60458
12.702,0.4,184.0,5.442,1.79236
13.083,1.6,95.854,3.503,1.64469
12.415,13.6,92.792,1.583,1.22386
9.088,6.4,44.667,1.526,0.390399
8.915,0.0,128.354,2.676,1.20249
10.123,0.0,243.208,4.229,0.683679
13.575,0.0,237.813,6.677,0.855265
11.404,7.2,114.542,2.061,1.69118
9.258,13.6,26.375,1.607,1.22294
10.437,0.0,110.646,2.594,2.33423
9.008,0.2,199.521,3.841,3.76367
8.583,0.0,202.583,4.073,3.12885
10.865,0.4,110.042,3.344,3.34762
13.221,0.0,224.25,5.309,6.33162
16.294,0.0,269.651,8.898,7.6255
18.887,0.0,258.354,11.643,7.55625
19.844,0.0,264.792,12.336,8.10673
20.76,0.0,278.896,13.061,8.09125
20.78,0.0,276.576,12.865,8.55221
21.29,0.0,272.792,12.61,8.46734
19.594,0.0,268.703,9.384,10.7797
17.046,0.0,302.083,11.896,8.30836
14.646,0.0,304.156,6.786,8.79604
14.154,0.0,282.182,7.028,9.53916
13.902,0.0,283.286,7.404,10.0306
15.235,0.0,285.781,9.089,9.59746
15.731,0.0,280.156,7.968,10.8084
14.271,0.0,242.563,5.22,10.4108
9.865,0.0,236.292,4.569,10.993
8.948,0.0,275.625,4.447,10.5505
10.0,0.0,166.646,3.336,8.64351
12.062,0.6,140.854,2.751,8.9502
12.569,6.4,158.813,2.633,9.47217
14.84,2.4,230.396,5.195,12.7487
15.329,5.8,201.958,4.146,12.1724
13.335,0.0,128.167,2.327,9.92369
15.652,1.8,312.776,5.575,14.0582
13.819,19.2,132.896,1.804,9.27013
15.49,0.0,301.057,6.575,12.0442
18.954,5.4,261.932,8.429,9.94066
16.604,0.2,297.37,5.826,9.29542
17.981,0.0,299.797,7.883,11.2438
22.408,0.0,260.578,11.092,11.4197
22.048,0.4,214.323,8.617,7.93549
16.294,24.2,97.042,1.833,5.38853
15.175,0.4,258.063,4.672,11.1935
17.388,0.0,174.813,6.266,15.204
16.527,20.2,126.271,4.601,7.61979
12.51,2.0,191.813,2.963,8.1611
9.66,2.8,111.208,2.057,7.98059
11.692,0.2,289.052,5.799,14.3496
12.071,13.4,170.583,2.035,12.6747
13.044,10.4,215.594,2.965,10.8595
12.065,6.6,179.917,1.844,9.73329
12.81,0.4,191.094,3.229,12.4528
15.531,0.2,235.854,6.198,15.0391
17.935,0.0,303.354,7.748,15.8139
21.144,0.0,301.995,9.123,15.7696
24.133,0.0,315.948,15.206,15.2157
18.248,0.2,315.62,8.174,12.9511
16.569,0.0,255.75,6.945,15.2082
18.794,0.0,304.557,7.459,16.3171
18.392,3.4,226.724,5.643,14.1461
17.719,0.0,122.625,3.862,13.0126
18.948,0.4,211.333,5.431,16.3135
