Ta_m,P_m,SWin_m,VPD_m,GPP
1.938,1.6,59.604,1.163,0.0725256
5.098,1.4,46.75,1.31,0.459512
3.425,16.2,20.521,0.724,0.316102
4.14,8.4,11.958,0.639,-0.0526102
2.671,10.6,11.604,0.486,-0.00260797
-0.442,0.0,46.896,0.875,0.00309372
-2.269,0.0,79.717,0.976,-0.0422436
-2.187,0.0,10.438,0.679,-0.140931
-2.775,0.0,47.313,0.916,-0.0667037
-4.338,0.0,65.715,0.805,-0.235763
-7.069,0.0,67.0,0.754,-0.121965
-7.927,0.2,66.535,0.732,-0.0856554
-4.39,0.0,15.125,0.556,-0.257765
-3.275,0.0,41.167,0.695,-0.225972
-0.356,0.8,44.354,0.951,-0.203495
2.442,3.0,9.5,0.187,0.0760473
-0.829,0.2,25.875,0.522,0.525139
-0.375,3.4,15.563,0.386,-0.0286368
-0.667,0.2,13.563,0.386,-0.682084
-0.442,0.0,10.688,0.556,0.106623
-2.929,0.0,7.625,0.347,-0.0253789
-3.771,0.0,63.797,0.464,-0.101864
-2.483,0.0,7.604,0.266,-0.0532873
-0.542,0.0,11.688,0.255,-0.141223
-0.781,0.0,21.167,0.257,-0.272077
-0.74,0.0,7.729,0.377,-0.18369
-1.944,1.0,52.917,0.974,-0.393936
-2.025,0.0,19.479,0.929,-0.164188
2.185,19.6,5.25,0.587,0.315336
3.377,8.2,8.583,0.707,0.185776
6.877,2.6,13.063,0.836,0.235972
8.96,0.6,33.417,2.072,-0.0441497
7.781,0.0,22.229,2.013,-0.155274
7.685,0.0,55.292,2.263,0.33106
5.919,0.4,38.688,0.828,-0.00747858
1.319,0.2,54.583,1.292,-0.0921359
4.463,4.8,10.083,1.529,0.137571
5.529,4.8,19.25,1.179,0.179461
2.483,0.8,18.854,0.661,-0.0494456
-1.075,0.2,15.354,1.135,-0.443546
0.117,0.2,25.417,1.036,-0.271249
1.365,0.0,57.958,1.485,0.0814491
1.769,4.0,7.396,0.737,-0.257985
2.454,0.0,16.563,1.06,-0.0677572
6.321,2.2,8.646,2.057,0.375708
10.544,1.2,22.875,2.968,0.282363
8.879,2.6,48.667,2.353,-0.243456
4.769,0.0,53.292,0.758,-0.148813
1.435,0.2,54.75,1.037,-0.142125
-0.277,0.2,26.583,1.089,-0.29578
-1.194,0.0,23.021,1.112,-0.123173
4.675,2.0,28.896,2.074,0.0831023
6.365,3.2,22.313,1.845,0.224672
9.546,0.4,10.583,1.775,-0.0652874
12.921,0.0,51.729,1.661,0.102821
12.052,0.0,58.104,1.45,0.369306
9.45,2.2,26.5,1.268,-0.1125
5.069,12.6,28.458,0.801,-0.267791
2.906,3.0,24.104,1.203,-0.0600642
0.467,0.0,20.146,1.721,0.00254113
-0.431,0.4,7.188,1.53,-0.135506
-2.95,0.0,51.708,2.116,-0.198576
0.221,2.8,15.75,0.954,-0.0681312
2.581,5.2,19.063,0.537,0.421804
4.79,0.0,32.25,2.021,0.135573
8.971,0.0,47.375,6.126,0.048462
8.685,3.6,29.75,3.4,-0.0368509
5.89,0.8,22.167,0.707,0.0152365
4.727,0.0,71.813,1.129,0.138502
3.308,0.2,74.292,2.071,-0.00192364
7.973,0.0,66.917,3.925,0.00416383
3.935,0.0,63.0,1.621,-0.16578
2.952,0.0,68.854,1.969,0.372964
6.281,0.0,49.146,1.903,0.153286
8.531,0.8,14.813,2.005,-0.151624
4.827,14.6,15.104,0.996,-0.152719
2.792,6.8,11.854,0.934,0.194413
3.581,12.4,11.104,0.842,0.0206337
0.073,0.6,48.104,0.885,-0.0974753
-4.198,0.0,80.29,1.271,-0.103081
-4.117,0.0,59.719,1.12,0.0483972
-3.471,0.0,18.604,0.783,-0.182731
0.292,0.6,14.708,0.585,-0.23632
2.55,0.8,19.542,0.295,0.0741159
4.675,1.8,19.208,0.303,0.122971
4.523,18.8,20.688,1.017,0.204645
1.985,6.6,22.708,0.768,0.0622589
0.815,0.8,54.604,0.746,0.112909
-1.223,0.0,61.646,0.448,0.00117782
-1.906,0.2,39.945,0.585,0.0630721
-3.123,0.0,32.219,0.624,0.0279864
-2.915,0.0,43.566,0.714,-0.0782402
-6.456,0.0,94.839,0.779,-0.411692
-6.056,0.0,88.947,0.73,-0.269368
-2.01,0.4,91.688,0.742,0.310116
-0.698,0.8,97.833,0.973,-0.00212768
1.046,3.6,15.375,0.361,0.279737
0.898,0.4,35.292,0.836,0.161572
2.583,9.4,24.271,0.197,0.304456
6.55,19.0,24.958,0.305,0.294874
7.723,17.6,24.708,0.515,0.123071
5.2,14.8,19.167,0.93,0.0505197
1.996,2.6,60.766,1.352,-0.0208742
1.023,1.2,17.292,0.759,-0.242576
0.479,3.4,27.5,0.575,-0.0747106
-0.281,0.2,134.437,1.36,-0.281908
4.333,0.0,132.104,2.947,0.0244675
8.66,0.4,87.0,4.046,0.12981
5.754,3.8,75.271,1.87,0.263751
6.054,3.6,40.438,1.598,0.274398
8.398,8.6,27.208,0.538,0.0986134
8.004,7.4,47.458,1.694,0.116434
5.008,0.8,36.542,1.685,-0.152005
3.34,4.8,56.563,1.106,-0.26426
2.448,1.8,75.729,1.268,0.0744882
1.871,1.8,80.021,1.342,0.00962234
3.644,15.2,67.521,1.905,0.209269
4.942,34.0,27.396,0.313,0.00763391
7.183,8.6,23.917,0.693,0.177231
6.59,0.0,158.125,1.835,0.221367
10.881,0.0,150.917,6.411,0.580552
12.75,0.0,159.313,7.852,0.572517
10.017,0.0,116.542,3.149,0.524092
9.108,0.0,158.875,2.916,0.126911
7.219,0.0,170.833,4.01,-0.354969
4.444,0.0,173.458,3.308,0.295616
4.804,0.0,171.896,4.009,0.847534
5.135,1.2,63.208,2.748,0.144091
4.235,0.0,95.292,2.698,0.13478
5.002,3.8,67.042,2.26,0.276595
4.375,6.2,35.292,1.342,0.43711
3.542,4.2,25.667,0.527,0.512121
9.308,0.2,175.146,3.137,0.771056
11.356,0.2,104.208,5.107,0.451935
10.25,1.4,85.792,2.917,-1.71137
4.75,22.4,31.729,0.616,0.84778
2.965,1.8,21.458,0.259,0.788771
5.902,0.2,93.188,1.584,0.736688
7.142,0.0,198.896,2.632,0.89986
9.996,0.0,194.021,4.123,1.11704
11.848,0.0,205.375,6.586,0.986235
11.204,0.0,158.146,4.094,0.412938
12.292,0.0,162.479,3.912,0.534739
10.602,1.4,44.938,0.886,0.578461
11.727,0.0,161.021,3.382,0.56672
14.733,0.2,179.938,5.973,0.609609
9.038,6.6,92.979,2.032,0.486206
7.481,0.4,61.125,1.7,0.725951
8.525,0.2,198.5,3.361,0.869086
10.219,0.0,223.125,4.595,0.929996
8.475,3.6,82.229,2.448,0.833018
6.529,10.6,78.125,1.546,0.722335
5.66,6.2,115.958,1.82,0.98095
6.306,10.0,119.583,2.829,0.920888
3.929,2.0,64.042,2.15,0.808436
5.608,0.2,162.125,3.545,1.15569
5.448,0.0,174.521,3.153,0.800604
4.579,2.0,130.146,1.588,0.796016
3.775,5.2,103.25,1.133,0.799497
7.608,0.4,143.167,3.28,1.0844
11.406,6.2,134.667,2.601,0.631448
10.552,2.4,171.542,3.579,1.23905
10.708,3.0,140.292,3.438,1.63029
8.867,0.2,114.167,2.607,1.33181
10.292,0.0,164.938,3.731,1.84468
12.848,0.0,180.188,4.941,2.11007
13.79,0.0,242.188,6.299,2.78421
12.933,0.0,234.188,5.083,4.15618
14.858,0.0,208.125,6.854,4.50254
13.648,0.0,147.083,3.386,5.98183
14.383,0.2,178.75,3.559,6.50088
14.367,0.0,261.938,6.561,7.20443
16.079,0.0,265.604,8.925,8.33315
14.51,0.2,118.75,7.001,8.34322
14.663,6.0,105.333,3.854,7.04729
15.367,0.0,194.854,4.171,10.2142
14.954,9.6,231.646,4.15,10.7541
13.431,5.6,102.354,2.278,6.71432
14.435,0.0,285.875,6.762,11.9097
15.602,0.4,137.271,5.552,12.7289
13.165,9.6,76.167,1.634,8.33477
12.994,15.6,96.854,1.311,8.8508
12.14,2.6,213.104,2.664,12.1884
12.96,2.0,156.708,2.953,9.2872
11.652,0.0,212.25,4.026,10.2613
9.829,0.0,296.411,4.985,10.4475
11.558,2.4,155.443,4.389,9.27264
13.046,0.8,114.719,3.53,7.80359
11.333,2.0,81.667,1.173,5.94061
12.379,7.2,167.688,2.599,10.5789
13.321,0.0,99.458,2.793,7.02128
11.91,0.8,81.521,2.454,5.52522
12.785,0.0,200.438,4.171,10.6812
15.6,0.0,309.076,5.99,10.61
14.354,0.0,200.286,3.758,11.1411
15.379,0.0,306.276,6.077,8.53041
20.563,0.0,295.63,12.025,8.82497
18.504,10.2,179.917,5.604,4.80574
20.687,4.8,293.594,8.427,9.73587
21.992,0.0,256.958,11.835,9.67034
19.625,0.2,284.354,7.169,11.3094
20.473,0.0,269.479,7.87,14.7774
18.896,6.6,198.229,5.501,9.82519
16.575,3.2,279.979,5.502,9.12038
13.621,6.0,148.568,2.512,10.2592
12.052,8.6,89.0,2.288,10.4656
12.081,4.4,186.688,3.314,16.0616
14.052,8.4,214.13,4.211,13.3808
12.429,4.8,175.063,3.046,11.1233
13.46,0.0,272.203,5.492,10.9968
14.073,0.0,173.375,5.286,12.6825
14.902,0.0,289.099,5.575,12.4825
13.958,0.0,159.479,4.036,9.94261
14.402,13.6,239.052,3.922,8.86815
14.929,0.2,130.5,3.148,8.22833
16.475,0.8,290.286,6.353,11.9539
16.477,0.6,253.188,6.652,12.3983
18.075,0.2,300.714,7.802,11.3795
14.994,0.0,195.375,5.934,10.6324
13.323,0.0,261.87,5.552,10.6923
15.423,1.4,190.521,5.159,10.1993
11.477,17.6,157.365,2.282,9.25071
11.183,0.0,253.708,3.853,9.46077
13.473,0.2,322.661,6.584,11.574
15.465,0.0,317.255,7.277,11.677
17.438,0.0,315.453,8.419,13.0802
16.748,0.8,172.87,4.947,8.28157
17.381,12.6,232.958,4.136,12.6719
15.346,0.0,217.729,5.255,8.45528
18.558,0.0,240.736,7.171,16.4658
17.146,1.8,153.813,3.224,10.1279
18.21,0.0,263.0,5.593,12.1943
20.225,0.0,301.5,7.175,14.2052
22.944,0.0,285.693,9.11,15.5017
23.335,0.0,270.542,8.222,16.0952
20.012,9.2,244.042,5.184,13.7361
15.702,27.8,111.969,1.418,8.16625
16.402,3.2,188.479,2.687,9.57658
16.269,0.6,188.583,3.276,11.0069
17.396,0.2,210.75,4.557,14.6106
18.508,9.2,111.563,3.3,12.979
20.091,0.8,182.854,3.859,17.1663
20.083,0.2,201.861,3.249,13.2638
20.069,1.6,199.943,3.776,14.4115
17.156,1.6,200.375,3.845,11.1869
15.958,2.4,151.042,3.779,10.2468
16.798,0.8,245.875,4.022,12.5216
18.625,0.0,293.318,6.786,12.8066
21.873,0.2,288.125,9.234,12.5965
22.208,0.4,242.813,6.742,10.7302
21.49,2.6,213.75,4.847,9.40441
18.421,5.8,127.375,3.428,6.30781
14.217,4.0,174.271,3.642,10.149
13.052,0.0,106.208,3.046,9.24331
15.4,0.0,295.75,4.634,11.9136
18.738,0.0,294.667,5.863,11.5875
20.627,0.0,283.833,7.309,11.8742
20.792,0.0,259.646,6.55,11.959
20.942,0.0,238.313,7.293,12.3195
20.34,0.0,276.167,8.298,11.7042
20.194,0.0,275.438,8.534,10.9193
20.077,0.0,259.313,8.279,9.25086
20.929,0.0,268.625,6.671,8.88746
20.927,0.0,255.042,6.125,7.89603
17.738,7.8,101.063,2.514,6.18311
19.048,21.4,209.5,4.244,6.85653
21.404,0.0,193.542,5.989,7.57427
21.535,7.2,210.25,6.57,7.57571
19.694,0.0,226.104,5.117,2.39887
20.219,11.6,206.563,5.684,3.39159
20.031,1.0,208.514,4.943,7.19897
18.042,3.0,189.542,2.965,5.83876
15.769,10.6,86.375,0.706,6.16755
15.198,0.2,132.208,3.462,10.5884
15.192,0.0,217.896,4.164,12.3003
16.504,11.0,116.042,2.811,9.8424
15.65,1.8,173.167,3.185,11.9503
14.292,9.6,77.021,1.391,8.66398
14.91,0.8,134.958,2.703,12.2963
16.69,0.6,132.104,3.496,12.4875
15.721,0.0,212.688,3.546,7.93656
15.31,0.0,237.271,3.862,11.7401
14.256,0.0,222.396,3.652,10.145
14.894,0.0,241.438,4.698,9.55987
17.229,0.0,226.583,6.021,7.81246
18.19,0.4,156.354,3.143,5.06056
21.892,0.0,202.729,5.418,6.61604
20.044,12.2,77.542,2.385,4.05799
19.527,12.2,170.896,2.671,5.99335
17.525,0.0,171.333,2.915,8.17804
15.683,0.2,215.0,3.245,8.67037
16.392,0.0,219.417,5.467,8.47623
16.056,0.0,179.5,4.746,8.10855
15.202,0.0,151.875,3.999,8.32949
16.135,0.0,227.583,7.213,8.53459
15.933,0.0,220.5,6.287,8.1078
16.633,0.0,179.271,4.154,9.55337
17.306,0.0,168.0,4.657,8.90865
16.775,6.4,100.042,3.004,8.21555
17.892,1.8,164.521,3.475,9.87228
18.394,0.0,188.438,5.364,11.0498
18.304,0.0,197.813,6.846,9.46177
19.579,0.0,193.896,8.538,10.3185
19.927,0.0,193.833,7.971,9.60103
21.175,0.0,185.75,9.279,8.83496
20.658,0.2,184.167,8.687,8.71391
20.335,0.0,169.188,9.935,9.51505
17.35,2.6,121.646,3.413,7.53266
14.665,0.0,171.25,4.478,6.69809
13.425,0.2,128.792,2.722,7.58441
14.056,0.0,183.542,4.717,6.27988
16.31,0.0,110.792,5.307,6.59914
15.49,3.4,67.417,3.382,4.80344
15.331,0.2,104.667,5.413,6.62037
17.644,2.6,48.375,3.792,3.12399
18.317,17.0,99.438,3.43,1.91161
18.692,0.2,139.417,3.489,5.18419
16.912,8.4,102.646,3.649,1.41713
15.146,3.4,82.167,3.136,4.56091
15.344,3.2,142.042,4.27,6.09098
13.944,4.4,85.5,2.552,3.89622
14.421,14.2,44.646,1.472,1.85453
13.3,16.4,44.979,1.217,3.29275
12.935,0.4,76.917,2.514,4.02605
14.754,3.8,89.479,3.993,6.56432
9.381,9.6,88.542,1.393,8.21078
8.323,3.6,70.229,1.306,5.67562
7.369,4.0,60.479,0.72,3.99827
6.752,0.2,108.521,1.611,4.13781
6.7,0.0,130.313,2.026,6.06536
9.125,0.4,53.292,1.897,3.86821
11.496,1.0,72.625,1.682,3.41494
11.423,0.2,28.208,1.088,2.72192
12.931,0.2,84.271,2.413,4.89274
11.86,0.0,64.938,1.161,4.43653
9.685,0.0,100.521,1.81,5.92019
8.848,0.0,127.042,2.115,5.07275
9.592,0.0,128.625,2.346,4.89169
7.935,0.0,130.542,2.667,3.75851
5.746,0.0,129.854,2.829,3.34023
4.215,0.0,128.354,2.924,2.31433
4.142,0.6,103.521,2.534,2.18998
6.525,3.4,80.833,1.6,2.02937
6.592,0.0,48.396,1.928,1.84299
10.354,6.4,81.625,2.205,2.94251
12.415,5.8,87.375,2.797,1.22645
11.712,8.6,22.563,3.087,1.04791
11.233,2.4,37.833,2.726,1.85039
12.427,0.0,92.5,3.519,0.460897
10.021,0.2,106.375,2.423,-0.271209
11.165,1.0,59.896,2.317,1.60824
12.252,2.8,93.188,1.817,1.36613
15.813,7.2,84.792,6.946,1.10523
10.348,6.2,77.708,2.707,-1.02486
12.152,0.0,81.208,4.788,1.41867
12.821,9.0,12.104,0.959,-0.788021
6.975,0.0,82.208,1.079,0.395173
5.325,0.0,64.083,1.102,0.295565
10.49,1.6,58.229,3.442,-0.268355
6.69,8.6,36.542,1.322,-0.127688
5.058,0.0,50.083,1.376,0.287929
6.167,0.6,49.604,1.517,-0.0987488
6.579,0.8,29.875,1.02,0.201671
5.304,11.2,14.188,0.479,0.112792
4.085,0.4,14.438,1.091,0.159815
3.933,0.0,78.313,1.623,0.175784
1.75,0.0,68.75,0.938,0.472882
2.096,0.4,21.563,0.479,0.264513
0.615,0.2,61.5,1.184,0.0255323
-0.925,0.0,32.188,0.852,-0.451238
0.058,0.6,11.75,0.348,-0.209012
-0.002,0.8,11.583,0.396,-0.103404
-0.515,0.2,6.229,0.308,0.221088
-2.158,0.0,10.271,0.571,-0.0378767
-3.129,0.0,29.739,0.916,0.0490563
-2.842,0.0,20.689,1.284,-0.24699
-0.402,0.0,13.521,0.814,-0.342749
1.575,6.8,15.188,0.747,0.100495
2.292,0.2,18.688,0.727,0.0639499
1.092,0.0,28.271,1.774,0.00925763
6.521,1.2,21.542,2.269,-0.0477973
7.925,0.0,52.708,2.931,0.15443
7.794,0.0,64.458,5.052,0.322175
6.99,0.0,59.0,4.168,0.284668
5.227,2.0,12.563,1.004,-0.119021
6.658,0.6,18.333,1.447,-0.135464
6.254,0.8,36.5,2.063,0.000814614
3.185,18.0,8.667,0.369,-0.14366
1.383,0.6,16.354,0.777,0.0239296
2.567,0.4,29.354,1.578,0.00783979
5.473,2.8,45.438,2.771,0.131484
7.242,1.6,23.938,1.501,0.0477629
6.969,14.8,11.333,1.289,0.00651086
4.765,1.4,22.104,0.892,-0.140398
6.288,6.0,16.667,1.179,0.151278
7.579,17.0,14.958,1.393,0.27748
4.304,3.8,19.75,1.453,0.000811544
2.019,18.2,14.938,0.382,-0.0371
-0.315,0.0,17.75,0.55,-0.0637499
-2.988,3.0,43.375,0.963,-0.438697
-0.8,2.4,24.021,0.693,0.00547276
3.735,0.0,5.563,0.45,0.354727
-0.279,15.8,9.016,0.608,-0.208757
-2.254,1.0,17.167,1.059,-0.0957106
-2.362,0.0,26.458,1.041,-0.184195
-6.013,0.0,52.141,1.114,-0.496086
1.775,0.6,14.25,1.08,0.262427
6.958,4.0,28.625,2.2,0.10579
6.258,25.2,7.271,1.445,-0.197364
5.852,26.131,6.266,1.635,-0.108325
3.156,5.547,6.279,0.877,-0.188263
1.598,20.397,9.911,1.128,-0.29968
1.493,2.144,19.011,1.209,-0.220012
1.325,0.796,19.813,1.142,-0.304277
1.885,2.678,3.8,0.771,-0.285433
3.764,1.757,5.322,0.852,0.936965
3.691,0.524,29.63,0.811,0.989755
2.046,0.03,38.832,0.904,0.820572
5.626,1.389,22.169,1.474,1.13027
6.223,1.622,23.031,1.258,1.2534
4.133,0.023,47.607,1.03,1.03327
5.957,1.885,15.627,1.197,1.16406
5.479,0.342,26.737,1.398,1.17444
5.397,9.764,6.108,0.857,1.16359
2.092,3.389,12.897,1.008,0.766898
2.412,0.276,29.767,1.098,0.859333
1.563,0.112,36.52,1.282,0.772548
0.904,0.045,49.566,1.369,0.650358
0.517,0.01,60.818,1.122,0.674138
-0.822,0.035,61.124,1.035,0.542424
-0.014,0.212,52.538,1.469,0.560385
3.148,1.007,15.213,1.263,0.936849
5.147,2.148,6.958,1.703,1.13735
1.948,0.759,37.593,2.127,0.753178
1.72,0.279,47.398,1.763,0.791377
3.192,3.126,10.076,1.462,0.935974
2.432,5.772,4.509,1.036,0.801048
1.55,4.184,6.553,1.096,0.774312
-4.409,0.173,68.753,1.339,0.214572
-5.19,0.0,77.405,1.555,0.0900311
-3.982,0.0,78.581,1.721,0.257425
-3.392,0.0,78.958,1.37,0.307145
0.246,0.005,76.711,1.508,0.593635
5.908,7.995,1.405,1.485,1.22026
9.091,10.132,1.433,1.552,1.55634
8.391,1.594,12.852,2.189,1.42301
6.824,0.113,72.191,1.592,1.31642
6.074,5.576,9.582,1.166,1.23459
4.125,0.507,43.541,1.668,0.973761
4.154,0.025,78.17,2.06,1.03862
6.349,1.424,87.199,3.151,1.26586
7.284,0.007,84.249,3.207,1.30639
8.053,2.104,33.701,2.744,1.44708
9.256,13.203,4.352,1.8,1.57471
5.11,2.383,54.16,2.61,1.07555
5.908,3.061,89.96,2.979,1.222
2.922,6.118,85.862,1.85,0.910143
1.71,0.118,98.132,1.985,0.734562
4.763,12.899,0.997,1.047,1.10004
4.013,0.666,77.059,1.126,1.02224
7.498,6.204,33.827,1.834,1.32737
3.265,9.999,73.273,1.502,0.947692
1.506,2.958,62.206,1.599,0.766669
3.829,7.625,11.227,1.401,0.946126
4.843,7.696,46.922,1.605,1.1084
1.48,1.74,79.912,1.965,0.765343
0.765,0.363,94.186,1.807,0.120496
2.464,0.0,97.275,2.323,0.819886
3.747,0.163,98.928,2.51,0.565381
5.57,1.81,6.167,1.881,1.02757
7.096,4.127,14.819,1.569,1.25503
4.44,0.131,96.944,1.942,0.707151
6.381,0.009,133.812,2.471,1.11792
10.174,3.625,116.854,3.809,1.58654
10.094,3.625,116.854,3.632,1.30656
4.733,11.228,28.733,1.38,0.940358
3.81,1.183,104.519,2.614,0.911332
5.844,3.273,32.345,2.107,0.849778
2.535,8.729,107.671,2.145,0.716023
0.754,0.21,141.755,2.481,0.608707
2.156,0.0,158.43,2.796,0.478151
5.445,0.002,114.244,3.177,1.02335
9.731,0.491,47.024,3.899,1.53729
10.915,1.449,77.77,3.605,1.39447
10.214,2.268,74.924,3.091,1.52347
8.465,0.967,83.133,2.623,1.40021
5.757,0.153,105.007,2.713,0.842509
6.167,0.0,171.356,3.216,1.09568
8.973,4.007,87.439,2.455,1.45592
4.533,1.005,138.849,3.119,0.713538
6.515,2.385,38.841,2.227,1.12725
8.207,0.899,78.393,2.799,1.37254
6.64,1.629,45.106,2.378,0.934037
4.942,0.578,89.292,2.188,0.961985
5.121,0.0,180.799,3.821,1.05019
6.116,0.0,191.769,4.183,0.887342
8.519,0.0,195.284,5.096,1.34835
9.292,0.067,165.155,4.819,1.49456
9.561,5.135,103.034,2.934,1.2471
9.329,0.549,134.546,3.403,1.42873
6.551,3.518,132.062,2.176,1.19627
5.142,2.291,128.949,2.14,0.776982
4.547,0.721,136.921,2.098,0.921347
4.47,10.409,104.882,1.552,0.978694
3.996,13.12,21.404,0.982,0.657735
6.992,1.285,139.077,3.251,1.17908
5.805,4.196,123.067,1.663,1.11734
8.01,0.0,204.872,4.209,1.08468
10.289,3.534,164.552,3.883,1.5357
9.631,3.322,163.65,3.459,1.52762
6.4,12.866,19.216,1.14,0.909741
3.857,0.082,208.987,3.465,0.851008
5.526,0.0,231.689,4.273,1.09547
7.188,0.0,239.593,4.839,1.00029
8.691,0.051,190.507,4.739,1.36324
8.683,0.0,220.377,4.762,1.42623
8.513,0.366,159.199,4.217,1.13587
6.265,5.634,192.52,2.891,1.1001
7.53,2.116,186.515,3.574,1.30138
7.801,8.169,105.421,1.553,1.05775
8.976,0.716,181.858,3.415,1.38988
8.259,2.087,139.645,2.845,1.31158
9.71,7.869,139.528,3.514,1.39767
9.844,0.0,120.208,3.733,0.809391
9.7,0.0,190.354,3.374,1.69853
12.573,0.0,271.646,6.403,0.961873
14.56,0.0,135.167,6.127,1.65195
18.225,0.0,242.625,10.262,1.57486
14.075,9.4,126.375,4.958,1.56458
10.092,0.6,130.083,2.738,1.61511
13.119,0.0,292.368,6.733,3.85689
16.898,0.0,293.792,10.098,4.28999
16.279,0.0,195.833,6.341,5.28002
14.527,0.0,141.813,3.395,4.72677
11.698,0.0,92.625,2.325,3.84235
14.458,0.0,294.354,5.255,6.35936
15.548,0.2,218.833,4.306,8.13002
15.208,33.2,222.25,4.516,8.49123
15.071,0.6,210.125,2.636,6.92318
15.265,0.2,241.708,3.845,7.3415
16.838,0.0,226.688,6.444,7.86982
16.173,0.4,266.5,6.191,7.9333
16.629,0.0,227.563,4.821,6.76238
15.75,2.0,199.688,3.899,8.80535
18.385,0.2,295.333,9.473,9.17359
19.804,0.0,277.75,9.22,6.23392
20.092,0.0,244.125,7.812,10.0136
14.944,8.2,104.625,2.068,8.26912
16.877,0.2,265.646,4.25,13.0933
18.025,0.0,320.375,8.767,12.6171
19.0,0.0,325.271,11.628,9.81551
21.563,0.0,308.396,11.94,12.1372
15.167,7.0,114.063,3.745,10.8546
11.106,7.6,156.917,2.971,13.3668
9.375,2.4,169.583,2.67,12.21
9.663,0.0,232.208,3.369,12.085
9.331,9.2,126.375,2.014,9.47136
11.167,0.804,64.018,3.027,7.18441
13.054,0.0,258.75,5.506,12.4703
16.775,0.0,321.5,8.101,14.5544
14.704,2.0,150.792,3.718,13.0971
15.35,4.0,312.042,5.809,11.6031
12.523,1.4,218.896,4.796,10.8457
11.86,7.2,132.833,4.171,8.96343
10.119,0.4,260.646,4.009,11.3203
10.692,19.2,101.083,2.376,7.19155
12.579,12.2,185.651,3.164,9.78453
17.031,0.0,326.0,6.658,11.0659
20.415,0.0,318.438,9.752,11.4657
22.435,0.0,334.444,11.041,11.2378
21.469,7.2,279.292,7.465,12.4331
18.762,3.2,220.833,5.31,11.413
13.112,0.2,134.208,3.108,8.40538
13.298,0.0,283.063,4.993,13.0808
16.84,0.0,351.229,9.046,12.4421
21.842,0.0,277.979,10.298,10.9984
19.425,2.6,145.542,5.209,8.65413
13.956,12.2,32.599,4.095,4.1508
15.077,0.0,303.947,6.243,11.388
19.639,0.0,304.063,8.203,13.6669
18.978,0.0,287.978,6.799,13.9768
16.37,0.0,217.823,3.679,13.9645
15.675,0.0,298.792,7.545,11.3219
15.481,0.0,363.307,9.985,8.89231
19.502,0.0,349.651,14.583,9.54164
22.573,0.0,338.368,14.355,9.92389
25.258,0.0,341.734,18.087,10.5437
23.658,0.0,327.172,18.632,10.6227
17.387,1.6,142.208,5.118,10.8932
14.398,0.0,147.667,3.729,12.6293
11.373,6.6,108.917,0.874,10.5083
11.585,0.0,159.563,3.195,10.3173
12.094,0.0,311.813,5.172,10.4546
13.069,0.0,354.693,7.308,11.3113
14.912,0.0,299.573,8.13,12.2025
15.254,0.0,347.427,8.311,12.0648
17.652,0.0,338.625,8.892,11.4308
20.465,9.4,306.156,10.763,13.6638
20.171,4.0,227.688,5.754,11.402
18.498,0.8,165.583,3.791,9.49882
16.425,5.4,139.875,2.741,10.1656
16.45,1.2,175.417,4.844,13.0153
19.36,0.6,298.667,8.842,11.9345
16.563,18.6,125.521,2.047,8.88533
12.638,5.4,213.771,3.052,12.0493
12.465,12.4,91.104,1.264,8.53819
14.31,16.2,187.188,3.405,14.8634
11.174,7.0,94.589,1.082,8.65754
11.629,0.2,185.979,3.891,12.4318
12.56,12.2,100.063,2.344,9.44641
12.483,16.0,107.208,1.289,9.87448
11.119,5.4,173.349,1.837,11.3662
11.248,3.4,160.042,1.536,10.9783
13.329,0.0,189.5,3.206,13.9042
14.496,0.0,278.604,5.166,15.0708
13.179,0.0,162.583,3.44,10.9674
15.783,0.0,278.813,5.67,13.409
16.54,0.0,325.042,6.264,13.9403
16.602,0.0,326.125,6.276,11.8303
17.846,0.6,161.479,4.771,11.435
18.954,1.4,233.021,4.659,13.6607
17.485,1.6,175.813,3.197,10.1765
16.029,33.2,113.375,1.914,9.52692
17.998,0.2,197.0,3.513,12.9749
16.083,2.4,169.021,2.392,12.1778
14.7,15.4,133.146,1.829,10.1308
16.585,0.0,236.792,3.266,12.9033
17.69,0.2,273.896,4.549,13.091
20.788,0.0,298.292,4.822,12.1908
18.275,15.2,103.958,2.589,7.57865
16.763,12.4,217.333,3.096,10.9991
16.173,0.2,206.5,3.544,11.652
16.067,0.0,177.646,3.775,10.225
17.377,0.0,251.292,4.306,11.7894
18.075,0.2,213.104,3.967,9.38958
17.796,1.2,172.583,2.79,10.7436
18.521,0.0,280.021,3.465,10.7721
21.233,0.0,266.0,3.448,10.5658
19.94,0.0,289.75,4.49,9.92743
20.942,0.0,285.458,5.95,9.46851
20.637,0.0,287.0,6.703,9.37251
21.667,0.0,255.5,5.136,10.3053
21.396,0.0,204.271,4.133,11.373
20.933,0.0,278.021,3.864,10.4429
21.646,0.0,241.208,3.909,11.9958
20.096,1.0,150.021,4.293,10.3495
22.0,0.8,106.729,5.354,7.06131
22.315,0.4,208.188,6.782,8.79732
15.877,13.6,38.0,1.109,2.24098
16.275,0.0,231.917,4.439,8.69684
18.346,0.0,265.333,4.688,10.6789
18.35,0.0,266.167,5.865,8.09599
19.606,0.0,262.271,6.579,9.57256
21.79,0.0,243.75,9.105,9.35428
16.296,16.0,94.438,2.396,6.22908
15.683,0.0,194.813,3.648,8.9565
